證券代碼,簡稱,年月日,報酬率％
1102   ,亞泥         ,20220418,    -0.7463
2498   ,宏達電       ,20220418,    -1.8450
2882   ,國泰金       ,20220418,    -1.8750
1102   ,亞泥         ,20220419,     0.8593
2498   ,宏達電       ,20220419,     0.0000
2882   ,國泰金       ,20220419,    -0.1592
1102   ,亞泥         ,20220420,     0.8520
2498   ,宏達電       ,20220420,    -0.1880
2882   ,國泰金       ,20220420,     1.9139
1102   ,亞泥         ,20220421,     0.7392
2498   ,宏達電       ,20220421,    -0.1883
2882   ,國泰金       ,20220421,     0.0000
1102   ,亞泥         ,20220422,    -0.3145
2498   ,宏達電       ,20220422,    -3.5849
2882   ,國泰金       ,20220422,     0.4695
1102   ,亞泥         ,20220425,    -1.3670
2498   ,宏達電       ,20220425,    -4.5988
2882   ,國泰金       ,20220425,    -0.6231
1102   ,亞泥         ,20220426,     0.6397
2498   ,宏達電       ,20220426,     2.1538
2882   ,國泰金       ,20220426,     0.3135
1102   ,亞泥         ,20220427,    -0.2119
2498   ,宏達電       ,20220427,    -2.4096
2882   ,國泰金       ,20220427,    -3.1250
1102   ,亞泥         ,20220428,     1.9108
2498   ,宏達電       ,20220428,     0.0000
2882   ,國泰金       ,20220428,     0.1613
1102   ,亞泥         ,20220429,     0.2083
2498   ,宏達電       ,20220429,    -2.0576
2882   ,國泰金       ,20220429,     0.6441
1102   ,亞泥         ,20220503,    -1.2474
2498   ,宏達電       ,20220503,     1.7857
2882   ,國泰金       ,20220503,    -0.3200
1102   ,亞泥         ,20220504,    -0.1053
2498   ,宏達電       ,20220504,     1.7544
2882   ,國泰金       ,20220504,     0.9631
1102   ,亞泥         ,20220505,     0.0000
2498   ,宏達電       ,20220505,     3.4483
2882   ,國泰金       ,20220505,    -0.9539
1102   ,亞泥         ,20220506,    -0.5269
2498   ,宏達電       ,20220506,    -2.0588
2882   ,國泰金       ,20220506,    -1.7657
1102   ,亞泥         ,20220509,    -1.9068
2498   ,宏達電       ,20220509,    -8.6086
2882   ,國泰金       ,20220509,    -4.0850
1102   ,亞泥         ,20220510,    -0.3240
